profile	1.1.0	1.1.0-e23cd7e4f-sm_86	cpu_arch=x86_64,gpu_arch=sm_86,cuda_version=12.2.140	# Last updated Wed Jul  9 00:06:41 2025

  total time	     percent	cum. percent	       calls	 time / call	          volume	name	aux	comment
   0.0959749	     19.6026	     19.6026	         503	 0.000190805	        4x8x8x32	N4quda26WilsonCloverPreconditionedINS_15WilsonCloverArgIdLi3ELi4EL21QudaReconstructType_s12ELb0EEEEE	policy_kernel=interior,GPU-offline,vol=8192,parity=1,precision=8,order=2,Ns=4,Nc=3,commDim=0000,xpay,n_rhs=1,n_rhs_tile=1,comm=0000	# 82.43 Gflop/s, 118.15 GB/s, tuning took 0.151684 seconds at Mon Jul  7 12:44:11 2025
   0.0947144	     19.3451	     38.9477	         503	 0.000188299	        4x8x8x32	N4quda26WilsonCloverPreconditionedINS_15WilsonCloverArgIdLi3ELi4EL21QudaReconstructType_s12ELb0EEEEE	policy_kernel=interior,GPU-offline,vol=8192,parity=1,precision=8,order=2,Ns=4,Nc=3,commDim=0000,n_rhs=1,n_rhs_tile=1,comm=0000	# 81.44 Gflop/s, 119.73 GB/s, tuning took 0.171753 seconds at Mon Jul  7 12:44:11 2025
   0.0797077	     16.2801	     55.2278	        1476	 5.40025e-05	        4x8x8x32	N4quda4blas31caxpbypzYmbwcDotProductUYNormY_IddEE	GPU-offline,vol=8192,parity=1,precision=2,order=8,Ns=4,Nc=3,vol=8192,parity=1,precision=8,order=2,Ns=4,Nc=3,n_rhs=1	# 65.53 Gflop/s, 97.69 GB/s, tuning took 0.096386 seconds at Mon Jul  7 12:44:11 2025
   0.0465708	     9.51194	     64.7397	        2952	  1.5776e-05	        4x8x8x32	N4quda26WilsonCloverPreconditionedINS_15WilsonCloverArgIsLi3ELi4EL21QudaReconstructType_s12ELb0EEEEE	policy_kernel=interior,GPU-offline,vol=8192,parity=1,precision=2,order=8,Ns=4,Nc=3,commDim=0000,xpay,n_rhs=1,n_rhs_tile=1,comm=0000	# 997.00 Gflop/s, 373.88 GB/s, tuning took 0.028605 seconds at Mon Jul  7 12:44:10 2025
   0.0421472	     8.60844	     73.3482	        2952	 1.42775e-05	        4x8x8x32	N4quda26WilsonCloverPreconditionedINS_15WilsonCloverArgIsLi3ELi4EL21QudaReconstructType_s12ELb0EEEEE	policy_kernel=interior,GPU-offline,vol=8192,parity=1,precision=2,order=8,Ns=4,Nc=3,commDim=0000,n_rhs=1,n_rhs_tile=1,comm=0000	# 1074.10 Gflop/s, 413.11 GB/s, tuning took 0.097089 seconds at Mon Jul  7 12:44:10 2025
   0.0327811	     6.69544	     80.0436	        1476	 2.22094e-05	        4x8x8x32	N4quda4blas10CdotNormABIdfEE	GPU-offline,vol=8192,parity=1,precision=2,order=8,Ns=4,Nc=3,n_rhs=1	# 70.82 Gflop/s, 38.36 GB/s, tuning took 0.065715 seconds at Mon Jul  7 12:44:10 2025
   0.0262713	     5.36584	     85.4095	        1476	  1.7799e-05	        4x8x8x32	N4quda4blas4CdotIdfEE	GPU-offline,vol=8192,parity=1,precision=2,order=8,Ns=4,Nc=3,n_rhs=1	# 44.18 Gflop/s, 47.87 GB/s, tuning took 0.050855 seconds at Mon Jul  7 12:44:10 2025
   0.0143906	     2.93925	     88.3487	         120	 0.000119922	        4x8x8x32	N4quda6WilsonINS_9WilsonArgIdLi3ELi4EL21QudaReconstructType_s12ELb0EEEEE	policy_kernel=interior,GPU-offline,vol=8192,parity=1,precision=8,order=2,Ns=4,Nc=3,commDim=0000,xpay,n_rhs=1,n_rhs_tile=1,comm=0000	# 93.45 Gflop/s, 157.39 GB/s, tuning took 0.248451 seconds at Mon Jul  7 12:44:10 2025
    0.014233	     2.90704	     91.2558	         180	  7.9072e-05	        4x8x8x32	N4quda6CloverIdLi3EEE	GPU-offline,vol=8192,parity=1,precision=8,order=2,Ns=4,Nc=3,n_rhs=1	# 52.22 Gflop/s, 86.20 GB/s, tuning took 0.043914 seconds at Mon Jul  7 12:44:10 2025
   0.0102207	     2.08754	     93.3433	         503	 2.03194e-05	        4x8x8x32	N4quda4blas10caxpyNorm2IddEE	GPU-offline,vol=8192,parity=1,precision=8,order=2,Ns=4,Nc=3,n_rhs=1	# 77.41 Gflop/s, 232.22 GB/s, tuning took 0.073293 seconds at Mon Jul  7 12:44:11 2025
  0.00571795	     1.16788	     94.5112	         503	 1.13677e-05	        4x8x8x32	N4quda4blas7axpbyz_IdEE	GPU-offline,vol=8192,parity=1,precision=8,order=2,Ns=4,Nc=3,n_rhs=1	# 51.89 Gflop/s, 415.09 GB/s, tuning took 0.011728 seconds at Mon Jul  7 12:44:11 2025
  0.00541873	     1.10676	     95.6179	        1416	 3.82679e-06	        4x8x8x32	N4quda4blas9cxpaypbz_IfEE	GPU-offline,vol=8192,parity=1,precision=2,order=8,Ns=4,Nc=3,n_rhs=1	# 462.39 Gflop/s, 445.27 GB/s, tuning took 0.009984 seconds at Mon Jul  7 12:44:11 2025
   0.0045304	    0.925322	     96.5433	        1476	 3.06938e-06	        4x8x8x32	N4quda4blas6caxpy_IfEE	GPU-offline,vol=8192,parity=1,precision=2,order=8,Ns=4,Nc=3,n_rhs=1	# 256.22 Gflop/s, 416.35 GB/s, tuning took 0.009575 seconds at Mon Jul  7 12:44:10 2025
  0.00373899	    0.763678	     97.3069	         623	 6.00159e-06	        4x8x8x32	N4quda15CopyColorSpinorILi4ELi3ENS_11colorspinor11FloatNOrderIsLi4ELi3ELi8ELb0ELb0ELb0EEENS2_IdLi4ELi3ELi2ELb0ELb0ELb0EEESt5tupleIJRNS_16ColorSpinorFieldERKS6_19QudaFieldLocation_sPsPKdEEEE	GPU-offline,vol=8192,parity=1,precision=8,order=2,Ns=4,Nc=3vol=8192,parity=1,precision=2,order=8,Ns=4,Nc=3	# 0.00 Gflop/s, 333.05 GB/s, tuning took 0.018383 seconds at Mon Jul  7 12:44:10 2025
  0.00206551	    0.421874	     97.7288	         624	 3.31011e-06	   bytes=1572864	cudaMemsetAsync	zero,color_spinor_field.cpp,414	# 0.00 Gflop/s, 475.17 GB/s, tuning took 0.000849 seconds at Mon Jul  7 12:44:10 2025
  0.00178586	    0.364757	     98.0936	           1	  0.00178586	        8x8x8x32	N4quda5FmunuIdLi3EL21QudaReconstructType_s12EEE	GPU-offline,vol=16384,stride=8192,precision=8,geometry=4,Nc=3,r=0000,comm=0000	# 135.74 Gflop/s, 92.48 GB/s, tuning took 1.562903 seconds at Mon Jul  7 12:44:05 2025
  0.00152115	    0.310691	     98.4043	           8	 0.000190144	   bytes=2359296	cudaMemcpyDefault	copy,gauge_field.cpp,1085	# 0.00 Gflop/s, 12.41 GB/s, tuning took 0.002007 seconds at Mon Jul  7 12:44:02 2025
  0.00124461	    0.254208	     98.6585	          60	 2.07435e-05	        8x8x8x32	N4quda4blas4axy_IdEE	GPU-offline,vol=16384,parity=2,precision=8,order=2,Ns=4,Nc=3,n_rhs=1	# 56.87 Gflop/s, 303.30 GB/s, tuning took 0.017778 seconds at Mon Jul  7 12:44:10 2025
  0.00123408	    0.252057	     98.9105	          60	  2.0568e-05	        8x8x8x32	N4quda15CopyColorSpinorILi4ELi3ENS_11colorspinor11FloatNOrderIdLi4ELi3ELi2ELb0ELb0ELb0EEENS1_21SpaceSpinorColorOrderIdLi4ELi3EEESt5tupleIJRNS_16ColorSpinorFieldERKS7_19QudaFieldLocation_sPdPKdEEEE	GPU-offline,vol=16384,parity=2,precision=8,order=9,Ns=4,Nc=3vol=16384,parity=2,precision=8,order=2,Ns=4,Nc=3to_ukqcd,from_degrand_rossi	# 0.00 Gflop/s, 305.89 GB/s, tuning took 0.018081 seconds at Mon Jul  7 12:44:10 2025
  0.00123005	    0.251235	     99.1618	          60	 2.05009e-05	        8x8x8x32	N4quda15CopyColorSpinorILi4ELi3ENS_11colorspinor21SpaceSpinorColorOrderIdLi4ELi3EEENS1_11FloatNOrderIdLi4ELi3ELi2ELb0ELb0ELb0EEESt5tupleIJRNS_16ColorSpinorFieldERKS7_19QudaFieldLocation_sPdPKdEEEE	GPU-offline,vol=16384,parity=2,precision=8,order=2,Ns=4,Nc=3vol=16384,parity=2,precision=8,order=9,Ns=4,Nc=3to_degrand_rossi,from_ukqcd	# 0.00 Gflop/s, 306.89 GB/s, tuning took 0.014025 seconds at Mon Jul  7 12:44:11 2025
  0.00107576	     0.21972	     99.3815	          60	 1.79293e-05	        8x8x8x32	N4quda4blas5Norm2IddEE	GPU-offline,vol=16384,parity=2,precision=8,order=2,Ns=4,Nc=3,n_rhs=1	# 43.86 Gflop/s, 175.45 GB/s, tuning took 0.085784 seconds at Mon Jul  7 12:44:10 2025
 0.000991482	    0.202507	      99.584	         120	 8.26235e-06	        4x8x8x32	N4quda15CopyColorSpinorILi4ELi3ENS_11colorspinor11FloatNOrderIdLi4ELi3ELi2ELb0ELb0ELb0EEES3_St5tupleIJRNS_16ColorSpinorFieldERKS5_19QudaFieldLocation_sPdPKdEEEE	GPU-offline,vol=8192,parity=1,precision=8,order=2,Ns=4,Nc=3vol=8192,parity=1,precision=8,order=2,Ns=4,Nc=3	# 0.00 Gflop/s, 380.73 GB/s, tuning took 0.012766 seconds at Mon Jul  7 12:44:10 2025
 0.000641688	    0.131063	      99.715	          60	 1.06948e-05	   bytes=3145728	cudaMemsetAsync	zero,color_spinor_field.cpp,414	# 0.00 Gflop/s, 294.14 GB/s, tuning took 0.001025 seconds at Thu Jul  3 15:47:36 2025
  0.00060186	    0.122928	      99.838	          60	  1.0031e-05	        4x8x8x32	N4quda4blas5Norm2IddEE	GPU-offline,vol=8192,parity=1,precision=8,order=2,Ns=4,Nc=3,n_rhs=1	# 39.20 Gflop/s, 156.80 GB/s, tuning took 0.037656 seconds at Mon Jul  7 12:44:10 2025
 0.000185323	   0.0378517	     99.8758	          60	 3.08872e-06	        4x8x8x32	N4quda15CopyColorSpinorILi4ELi3ENS_11colorspinor11FloatNOrderIsLi4ELi3ELi8ELb0ELb0ELb0EEES3_St5tupleIJRNS_16ColorSpinorFieldERKS5_19QudaFieldLocation_sPsPKsEEEE	GPU-offline,vol=8192,parity=1,precision=2,order=8,Ns=4,Nc=3vol=8192,parity=1,precision=2,order=8,Ns=4,Nc=3	# 0.00 Gflop/s, 275.83 GB/s, tuning took 0.015398 seconds at Mon Jul  7 12:44:10 2025
 0.000182304	   0.0372351	     99.9131	           1	 0.000182304	        8x8x8x32	N4quda12CloverInvertIdEE	GPU-offline,vol=16384precision=8Nc=3,trlog,twist=false	# 0.00 Gflop/s, 40.26 GB/s, tuning took 4.374822 seconds at Mon Jul  7 12:44:09 2025
  9.8621e-05	   0.0201431	     99.9332	           2	 4.93105e-05	        8x8x8x32	N4quda9CopyGaugeINS_12CopyGaugeArgIddLi18ELb0ENS_5gauge11FloatNOrderIdLi18ELi2ELi12EL20QudaStaggeredPhase_s0ELb1EL19QudaGhostExchange_sn2147483648ELb0EEENS2_8QDPOrderIdLi18EEEEEEE	GPU-offline,vol=16384,stride=8192,precision=8,geometry=4,Nc=3,vol=16384,stride=9216,precision=8,geometry=4,Nc=3	# 0.00 Gflop/s, 334.92 GB/s, tuning took 0.024573 seconds at Mon Jul  7 12:44:03 2025
