tunecache	1.1.0	1.1.0-e23cd7e4f-sm_86	cpu_arch=x86_64,gpu_arch=sm_86,cuda_version=12.2.140	# Last updated Thu Jul  3 15:49:49 2025

          volume	name	aux	block.x	block.y	block.z	grid.x	grid.y	grid.z	shared_bytes	aux.x	aux.y	aux.z	aux.w	time	comment
               1	N4quda7reducer11init_reduceIN4cuda3__46atomicIjLNS2_3std3__48__detail12thread_scopeE1EEEEE	GPU-offline,	32	1	1	1	1	1	0	-1	-1	-1	-1	3.40282e+38	# default
     16x16x16x16	N4quda10BlockOrthoIssLi4ELi2ELi3ELi2ELi24EEE	GPU-offline,vol=65536,parity=2,precision=2,order=8,Ns=4,Nc=72,nVec=24,block_size=8x8x4x4,n_block_ortho=1,mVec=1	1024	1	1	64	1	2	0	1	-1	-1	-1	0.0123559	# 290.24 Gflop/s, 83.26 GB/s, tuning took 0.099580 seconds at Thu Jul  3 15:47:40 2025
     16x16x16x16	N4quda10CalculateYILb0EL19QudaFieldLocation_s2ENS_13CalculateYArgILb0EfsLi4ELi2ELi3ELi24ENS_5gauge10FieldOrderIfLi48ELi2EL21QudaGaugeFieldOrder_s2ELb1EsEENS4_IfLi48ELi2ELS5_2ELb1EiEENS4_IfLi3ELi1ELS5_2ELb1EfEENS_11colorspinor12FieldOrderCBIfLi4ELi3ELi24EL16QudaFieldOrder_s8EssLb0ELb0EEESC_SC_NS_6clover10FieldOrderIfLi3ELi4EL22QudaCloverFieldOrder_s4EEEEEEE	GPU-offline,vol=65536,parity=2,precision=2,order=8,Ns=4,Nc=72,nVec=24,comm=0000,computeAV,Dynamic,GPU-device	32	1	8	1024	4	3	0	1	0	0	0	0.0133803	# 67.71 Gflop/s, 31.99 GB/s, tuning took 15.302558 seconds at Thu Jul  3 15:48:13 2025
     16x16x16x16	N4quda10CalculateYILb0EL19QudaFieldLocation_s2ENS_13CalculateYArgILb0EfsLi4ELi2ELi3ELi24ENS_5gauge10FieldOrderIfLi48ELi2EL21QudaGaugeFieldOrder_s2ELb1EsEENS4_IfLi48ELi2ELS5_2ELb1EiEENS4_IfLi3ELi1ELS5_2ELb1EfEENS_11colorspinor12FieldOrderCBIfLi4ELi3ELi24EL16QudaFieldOrder_s8EssLb0ELb0EEESC_SC_NS_6clover10FieldOrderIfLi3ELi4EL22QudaCloverFieldOrder_s4EEEEEEE	GPU-offline,vol=65536,parity=2,precision=2,order=8,Ns=4,Nc=72,nVec=24,comm=0000,computeAV,compute_max,Dynamic,GPU-device	32	1	6	1024	4	4	0	1	0	0	0	0.0133762	# 67.73 Gflop/s, 37.67 GB/s, tuning took 15.288115 seconds at Thu Jul  3 15:47:58 2025
     16x16x16x16	N4quda10CalculateYILb0EL19QudaFieldLocation_s2ENS_13CalculateYArgILb0EfsLi4ELi2ELi3ELi24ENS_5gauge10FieldOrderIfLi48ELi2EL21QudaGaugeFieldOrder_s2ELb1EsEENS4_IfLi48ELi2ELS5_2ELb1EiEENS4_IfLi3ELi1ELS5_2ELb1EfEENS_11colorspinor12FieldOrderCBIfLi4ELi3ELi24EL16QudaFieldOrder_s8EssLb0ELb0EEESC_SC_NS_6clover10FieldOrderIfLi3ELi4EL22QudaCloverFieldOrder_s4EEEEEEE	GPU-offline,vol=65536,parity=2,precision=2,order=8,Ns=4,Nc=72,nVec=24,comm=0000,computeUV,compute_max,tile_size=3x2x1,dim=0,dir=back,nFace=1,GPU-device	32	1	12	1024	2	1	16385	1	1	1	1	0.000240435	# 1884.02 Gflop/s, 1101.19 GB/s, tuning took 0.460638 seconds at Thu Jul  3 15:48:25 2025
     16x16x16x16	N4quda10CalculateYILb0EL19QudaFieldLocation_s2ENS_13CalculateYArgILb0EfsLi4ELi2ELi3ELi24ENS_5gauge10FieldOrderIfLi48ELi2EL21QudaGaugeFieldOrder_s2ELb1EsEENS4_IfLi48ELi2ELS5_2ELb1EiEENS4_IfLi3ELi1ELS5_2ELb1EfEENS_11colorspinor12FieldOrderCBIfLi4ELi3ELi24EL16QudaFieldOrder_s8EssLb0ELb0EEESC_SC_NS_6clover10FieldOrderIfLi3ELi4EL22QudaCloverFieldOrder_s4EEEEEEE	GPU-offline,vol=65536,parity=2,precision=2,order=8,Ns=4,Nc=72,nVec=24,comm=0000,computeUV,compute_max,tile_size=3x2x1,dim=0,dir=fwd,nFace=1,GPU-device	32	1	6	1024	2	2	0	1	0	0	0	0.000253696	# 1785.54 Gflop/s, 1043.63 GB/s, tuning took 0.495979 seconds at Thu Jul  3 15:48:14 2025
     16x16x16x16	N4quda10CalculateYILb0EL19QudaFieldLocation_s2ENS_13CalculateYArgILb0EfsLi4ELi2ELi3ELi24ENS_5gauge10FieldOrderIfLi48ELi2EL21QudaGaugeFieldOrder_s2ELb1EsEENS4_IfLi48ELi2ELS5_2ELb1EiEENS4_IfLi3ELi1ELS5_2ELb1EfEENS_11colorspinor12FieldOrderCBIfLi4ELi3ELi24EL16QudaFieldOrder_s8EssLb0ELb0EEESC_SC_NS_6clover10FieldOrderIfLi3ELi4EL22QudaCloverFieldOrder_s4EEEEEEE	GPU-offline,vol=65536,parity=2,precision=2,order=8,Ns=4,Nc=72,nVec=24,comm=0000,computeUV,compute_max,tile_size=3x2x1,dim=1,dir=back,nFace=1,GPU-device	32	1	12	1024	2	1	0	1	1	1	1	0.000240819	# 1881.02 Gflop/s, 1099.44 GB/s, tuning took 0.463135 seconds at Thu Jul  3 15:48:28 2025
     16x16x16x16	N4quda10CalculateYILb0EL19QudaFieldLocation_s2ENS_13CalculateYArgILb0EfsLi4ELi2ELi3ELi24ENS_5gauge10FieldOrderIfLi48ELi2EL21QudaGaugeFieldOrder_s2ELb1EsEENS4_IfLi48ELi2ELS5_2ELb1EiEENS4_IfLi3ELi1ELS5_2ELb1EfEENS_11colorspinor12FieldOrderCBIfLi4ELi3ELi24EL16QudaFieldOrder_s8EssLb0ELb0EEESC_SC_NS_6clover10FieldOrderIfLi3ELi4EL22QudaCloverFieldOrder_s4EEEEEEE	GPU-offline,vol=65536,parity=2,precision=2,order=8,Ns=4,Nc=72,nVec=24,comm=0000,computeUV,compute_max,tile_size=3x2x1,dim=1,dir=fwd,nFace=1,GPU-device	32	1	6	1024	2	2	0	1	1	1	1	0.000253184	# 1789.15 Gflop/s, 1045.74 GB/s, tuning took 0.498339 seconds at Thu Jul  3 15:48:17 2025
     16x16x16x16	N4quda10CalculateYILb0EL19QudaFieldLocation_s2ENS_13CalculateYArgILb0EfsLi4ELi2ELi3ELi24ENS_5gauge10FieldOrderIfLi48ELi2EL21QudaGaugeFieldOrder_s2ELb1EsEENS4_IfLi48ELi2ELS5_2ELb1EiEENS4_IfLi3ELi1ELS5_2ELb1EfEENS_11colorspinor12FieldOrderCBIfLi4ELi3ELi24EL16QudaFieldOrder_s8EssLb0ELb0EEESC_SC_NS_6clover10FieldOrderIfLi3ELi4EL22QudaCloverFieldOrder_s4EEEEEEE	GPU-offline,vol=65536,parity=2,precision=2,order=8,Ns=4,Nc=72,nVec=24,comm=0000,computeUV,compute_max,tile_size=3x2x1,dim=2,dir=back,nFace=1,GPU-device	32	1	12	1024	2	1	16385	1	1	1	1	0.000240435	# 1884.02 Gflop/s, 1101.19 GB/s, tuning took 0.456874 seconds at Thu Jul  3 15:48:30 2025
     16x16x16x16	N4quda10CalculateYILb0EL19QudaFieldLocation_s2ENS_13CalculateYArgILb0EfsLi4ELi2ELi3ELi24ENS_5gauge10FieldOrderIfLi48ELi2EL21QudaGaugeFieldOrder_s2ELb1EsEENS4_IfLi48ELi2ELS5_2ELb1EiEENS4_IfLi3ELi1ELS5_2ELb1EfEENS_11colorspinor12FieldOrderCBIfLi4ELi3ELi24EL16QudaFieldOrder_s8EssLb0ELb0EEESC_SC_NS_6clover10FieldOrderIfLi3ELi4EL22QudaCloverFieldOrder_s4EEEEEEE	GPU-offline,vol=65536,parity=2,precision=2,order=8,Ns=4,Nc=72,nVec=24,comm=0000,computeUV,compute_max,tile_size=3x2x1,dim=2,dir=fwd,nFace=1,GPU-device	32	1	6	1024	2	2	0	1	1	1	1	0.000252672	# 1792.78 Gflop/s, 1047.86 GB/s, tuning took 0.491920 seconds at Thu Jul  3 15:48:19 2025
     16x16x16x16	N4quda10CalculateYILb0EL19QudaFieldLocation_s2ENS_13CalculateYArgILb0EfsLi4ELi2ELi3ELi24ENS_5gauge10FieldOrderIfLi48ELi2EL21QudaGaugeFieldOrder_s2ELb1EsEENS4_IfLi48ELi2ELS5_2ELb1EiEENS4_IfLi3ELi1ELS5_2ELb1EfEENS_11colorspinor12FieldOrderCBIfLi4ELi3ELi24EL16QudaFieldOrder_s8EssLb0ELb0EEESC_SC_NS_6clover10FieldOrderIfLi3ELi4EL22QudaCloverFieldOrder_s4EEEEEEE	GPU-offline,vol=65536,parity=2,precision=2,order=8,Ns=4,Nc=72,nVec=24,comm=0000,computeUV,compute_max,tile_size=3x2x1,dim=3,dir=back,nFace=1,GPU-device	32	1	12	1024	2	1	24577	1	1	1	1	0.000240454	# 1883.87 Gflop/s, 1101.10 GB/s, tuning took 0.458065 seconds at Thu Jul  3 15:48:33 2025
     16x16x16x16	N4quda10CalculateYILb0EL19QudaFieldLocation_s2ENS_13CalculateYArgILb0EfsLi4ELi2ELi3ELi24ENS_5gauge10FieldOrderIfLi48ELi2EL21QudaGaugeFieldOrder_s2ELb1EsEENS4_IfLi48ELi2ELS5_2ELb1EiEENS4_IfLi3ELi1ELS5_2ELb1EfEENS_11colorspinor12FieldOrderCBIfLi4ELi3ELi24EL16QudaFieldOrder_s8EssLb0ELb0EEESC_SC_NS_6clover10FieldOrderIfLi3ELi4EL22QudaCloverFieldOrder_s4EEEEEEE	GPU-offline,vol=65536,parity=2,precision=2,order=8,Ns=4,Nc=72,nVec=24,comm=0000,computeUV,compute_max,tile_size=3x2x1,dim=3,dir=fwd,nFace=1,GPU-device	32	1	6	1024	2	2	0	1	1	1	1	0.00025344	# 1787.35 Gflop/s, 1044.69 GB/s, tuning took 0.494015 seconds at Thu Jul  3 15:48:22 2025
     16x16x16x16	N4quda10CalculateYILb0EL19QudaFieldLocation_s2ENS_13CalculateYArgILb0EfsLi4ELi2ELi3ELi24ENS_5gauge10FieldOrderIfLi48ELi2EL21QudaGaugeFieldOrder_s2ELb1EsEENS4_IfLi48ELi2ELS5_2ELb1EiEENS4_IfLi3ELi1ELS5_2ELb1EfEENS_11colorspinor12FieldOrderCBIfLi4ELi3ELi24EL16QudaFieldOrder_s8EssLb0ELb0EEESC_SC_NS_6clover10FieldOrderIfLi3ELi4EL22QudaCloverFieldOrder_s4EEEEEEE	GPU-offline,vol=65536,parity=2,precision=2,order=8,Ns=4,Nc=72,nVec=24,comm=0000,computeUV,tile_size=3x2x1,dim=0,dir=back,nFace=1,GPU-device	32	1	12	1024	2	1	12289	1	1	1	1	0.000477867	# 947.93 Gflop/s, 395.52 GB/s, tuning took 0.754877 seconds at Thu Jul  3 15:48:26 2025
     16x16x16x16	N4quda10CalculateYILb0EL19QudaFieldLocation_s2ENS_13CalculateYArgILb0EfsLi4ELi2ELi3ELi24ENS_5gauge10FieldOrderIfLi48ELi2EL21QudaGaugeFieldOrder_s2ELb1EsEENS4_IfLi48ELi2ELS5_2ELb1EiEENS4_IfLi3ELi1ELS5_2ELb1EfEENS_11colorspinor12FieldOrderCBIfLi4ELi3ELi24EL16QudaFieldOrder_s8EssLb0ELb0EEESC_SC_NS_6clover10FieldOrderIfLi3ELi4EL22QudaCloverFieldOrder_s4EEEEEEE	GPU-offline,vol=65536,parity=2,precision=2,order=8,Ns=4,Nc=72,nVec=24,comm=0000,computeUV,tile_size=3x2x1,dim=0,dir=fwd,nFace=1,GPU-device	32	1	12	1024	2	1	24577	1	0	0	0	0.000476843	# 949.97 Gflop/s, 396.37 GB/s, tuning took 0.746723 seconds at Thu Jul  3 15:48:15 2025
