# Correlation function shape: (8, 1, 1, 16, 32)
# Format: [WL_index][pol][qext][gamma][time] value
# Shape dimensions: (WL_indices, polarizations, momentum_transfers, gamma_matrices, time_slices)

WL0_P0_Q0_5: [-2.93447753e+05+1.14173547e+06j -2.74030504e+06+2.50634186e+06j
  8.87834694e+05+3.06282940e+06j  1.57003358e+06+1.22699877e+06j
  1.39175061e+06+1.29151126e+06j  1.85979292e+05+7.23268782e+04j
  6.94892459e+04+4.22642471e+04j  2.15006876e+04-8.52023948e+03j
  9.87741801e+03-1.06831088e+04j  8.40253924e+02-3.03560394e+03j
 -7.37220041e+02-1.71277357e+03j -6.24875855e+02-5.24291158e+02j
 -3.57071784e+02-2.10411306e+02j -1.01228521e+02-6.50977919e+01j
 -2.23569107e+01-1.63354711e+01j -4.73991965e+00-2.85043583e+00j
 -1.16872841e+00-5.33167689e-01j -3.29956626e-01-2.32870730e-01j
  1.23016951e-02-2.66789152e-01j -8.95684319e-02+1.29816541e-01j
  2.32298384e-01+1.35213286e+00j  2.44109603e+00+4.53555958e+00j
  6.82428228e+00+1.08791324e+01j  1.63856499e+01+3.24995114e+01j
  4.70675728e+01+1.59155965e+02j  1.66218337e+02+6.15525200e+02j
  1.31342472e+02+1.76444751e+03j -5.20987612e+02+6.83426274e+03j
 -1.63433899e+03+3.44765360e+04j  2.64852917e+03+1.29148102e+05j
  8.47481245e+04+3.39497790e+05j  8.86479176e+04+7.08498387e+05j]
WL0_P0_Q0_T: [ 1.17117761e+07-9.20676635e+05j  1.05018941e+07+3.79520457e+05j
  8.17381423e+06-1.59715667e+06j  9.66636505e+06-1.68210772e+05j
  5.72055841e+06-3.46748747e+06j -6.72665418e+04+1.33570680e+05j
 -2.40289997e+04+7.94653330e+04j  3.51605509e+03+2.68355126e+04j
  8.73523360e+03+6.54568919e+03j  3.70931682e+03+2.00801675e+03j
  1.02201742e+03+4.59926888e+02j  2.89089622e+02+1.38534090e+02j
  6.48455491e+01+5.44839411e+01j  1.82977681e+01+1.48567158e+01j
  7.34175655e+00-4.45666612e-01j  1.58585205e+00-5.22323906e-01j
  5.50153763e-01-1.75804527e-01j  1.52854315e-01-2.81050095e-01j
  1.94629631e-01-3.17567209e-01j  4.15262178e-01-2.41443921e-01j
  1.26212065e+00-3.55061266e-01j  3.23319223e+00-1.56177857e+00j
  1.02520561e+01-3.68205774e+00j  2.59721657e+01+2.98145535e+00j
  7.16914749e+01+4.41569223e+01j  1.05639277e+02+2.47847495e+02j
  1.79716371e+02+5.71524699e+02j -1.37799994e+03+2.15292596e+03j
 -4.91047974e+03+8.53629513e+03j -2.36659067e+04+2.56284725e+04j
 -7.92282895e+04+1.07456044e+05j -5.19848830e+05+3.64970540e+05j]
WL0_P0_Q0_T5: [-6.09972077e+04+1.96629849e+06j -3.51077168e+06-1.05798852e+06j
 -5.52397887e+06-2.91204680e+05j -1.03247631e+06-5.81983942e+05j
  9.38487089e+05+1.19997528e+06j -6.94140070e+04-3.53654542e+04j
 -5.80739366e+04-7.68942298e+03j -2.39441883e+04-2.24624925e+03j
 -1.24276780e+04+5.90365759e+03j -1.30050248e+03+4.55268884e+02j
  3.01074200e+02+5.15557121e+02j  3.67751847e+02+1.40737206e+02j
  2.12275131e+02+1.70342760e+02j  7.98182433e+01+5.77807905e+01j
