profile	1.1.0	1.1.0-e23cd7e4f-sm_86	cpu_arch=x86_64,gpu_arch=sm_86,cuda_version=12.2.140	# Last updated Thu Jul 24 21:34:24 2025

  total time	     percent	cum. percent	       calls	 time / call	          volume	name	aux	comment
   0.0187899	     19.1181	     19.1181	          99	 0.000189797	        4x8x8x32	N4quda26WilsonCloverPreconditionedINS_15WilsonCloverArgIdLi3ELi4EL21QudaReconstructType_s12ELb0EEEEE	policy_kernel=interior,GPU-offline,vol=8192,parity=1,precision=8,order=2,Ns=4,Nc=3,commDim=0000,xpay,n_rhs=1,n_rhs_tile=1,comm=0000	# 82.87 Gflop/s, 118.78 GB/s, tuning took 0.151576 seconds at Fri Jul 18 16:46:06 2025
   0.0185808	     18.9054	     38.0235	          99	 0.000187685	        4x8x8x32	N4quda26WilsonCloverPreconditionedINS_15WilsonCloverArgIdLi3ELi4EL21QudaReconstructType_s12ELb0EEEEE	policy_kernel=interior,GPU-offline,vol=8192,parity=1,precision=8,order=2,Ns=4,Nc=3,commDim=0000,n_rhs=1,n_rhs_tile=1,comm=0000	# 81.71 Gflop/s, 120.12 GB/s, tuning took 0.171025 seconds at Fri Jul 18 16:46:06 2025
   0.0152995	     15.5668	     53.5903	         285	 5.36825e-05	        4x8x8x32	N4quda4blas31caxpbypzYmbwcDotProductUYNormY_IddEE	GPU-offline,vol=8192,parity=1,precision=2,order=8,Ns=4,Nc=3,vol=8192,parity=1,precision=8,order=2,Ns=4,Nc=3,n_rhs=1	# 65.92 Gflop/s, 98.27 GB/s, tuning took 0.096026 seconds at Fri Jul 18 16:46:06 2025
    0.008892	     9.04733	     62.6376	         570	    1.56e-05	        4x8x8x32	N4quda26WilsonCloverPreconditionedINS_15WilsonCloverArgIsLi3ELi4EL21QudaReconstructType_s12ELb0EEEEE	policy_kernel=interior,GPU-offline,vol=8192,parity=1,precision=2,order=8,Ns=4,Nc=3,commDim=0000,xpay,n_rhs=1,n_rhs_tile=1,comm=0000	# 1008.25 Gflop/s, 378.10 GB/s, tuning took 0.028549 seconds at Fri Jul 18 16:46:06 2025
   0.0079922	     8.13181	     70.7694	         570	 1.40214e-05	        4x8x8x32	N4quda26WilsonCloverPreconditionedINS_15WilsonCloverArgIsLi3ELi4EL21QudaReconstructType_s12ELb0EEEEE	policy_kernel=interior,GPU-offline,vol=8192,parity=1,precision=2,order=8,Ns=4,Nc=3,commDim=0000,n_rhs=1,n_rhs_tile=1,comm=0000	# 1093.71 Gflop/s, 420.66 GB/s, tuning took 0.096728 seconds at Fri Jul 18 16:46:05 2025
  0.00631064	     6.42088	     77.1903	         285	 2.21426e-05	        4x8x8x32	N4quda4blas10CdotNormABIdfEE	GPU-offline,vol=8192,parity=1,precision=2,order=8,Ns=4,Nc=3,n_rhs=1	# 71.03 Gflop/s, 38.48 GB/s, tuning took 0.065600 seconds at Fri Jul 18 16:46:06 2025
  0.00506388	     5.15234	     82.3426	         285	  1.7768e-05	        4x8x8x32	N4quda4blas4CdotIdfEE	GPU-offline,vol=8192,parity=1,precision=2,order=8,Ns=4,Nc=3,n_rhs=1	# 44.26 Gflop/s, 47.95 GB/s, tuning took 0.050953 seconds at Fri Jul 18 16:46:06 2025
  0.00286992	     2.92005	     85.2627	          24	  0.00011958	        4x8x8x32	N4quda6WilsonINS_9WilsonArgIdLi3ELi4EL21QudaReconstructType_s12ELb0EEEEE	policy_kernel=interior,GPU-offline,vol=8192,parity=1,precision=8,order=2,Ns=4,Nc=3,commDim=0000,xpay,n_rhs=1,n_rhs_tile=1,comm=0000	# 93.72 Gflop/s, 157.84 GB/s, tuning took 0.238840 seconds at Fri Jul 18 16:46:05 2025
  0.00283835	     2.88793	     88.1506	          36	 7.88431e-05	        4x8x8x32	N4quda6CloverIdLi3EEE	GPU-offline,vol=8192,parity=1,precision=8,order=2,Ns=4,Nc=3,n_rhs=1	# 52.37 Gflop/s, 86.45 GB/s, tuning took 0.043321 seconds at Fri Jul 18 16:46:05 2025
  0.00199855	     2.03346	     90.1841	          99	 2.01874e-05	        4x8x8x32	N4quda4blas10caxpyNorm2IddEE	GPU-offline,vol=8192,parity=1,precision=8,order=2,Ns=4,Nc=3,n_rhs=1	# 77.91 Gflop/s, 233.74 GB/s, tuning took 0.072763 seconds at Fri Jul 18 16:46:06 2025
